word,synonym
abaxial,dorsal
adaxial,ventral
abducent,abducting
adducent,adductive
adducent,adducting
emergent,emerging
cut,shortened
full-length,uncut
implicit,unquestioning
relative,comparative
absorbent,absorptive
absorbefacient,sorbefacient
assimilating,assimilative
assimilating,assimilatory
spongy,spongelike
nonabsorbent,nonabsorptive
repellent,resistant
adsorbent,adsorptive
adsorbent,surface-assimilative
chemisorptive,chemosorptive
nonadsorbent,nonadsorptive
adsorbable,adsorbate
abstinent,abstentious
ascetic,ascetical
ascetic,austere
ascetic,spartan
crapulent,crapulous
edacious,esurient
edacious,rapacious
edacious,ravening
edacious,ravenous
edacious,voracious
edacious,wolfish
hoggish,piggish
hoggish,piggy
hoggish,porcine
hoggish,swinish
overgreedy,too-greedy
conceptional,ideational
conceptional,notional
ideological,ideologic
real,tangible
abounding,galore
ample,copious
ample,plenteous
ample,plentiful
ample,rich
copious,voluminous
exuberant,lush
exuberant,luxuriant
exuberant,profuse
exuberant,riotous
overabundant,plethoric
overabundant,rife
abused,ill-treated
abused,maltreated
abused,mistreated
unexceptionable,unimpeachable
exceptionable,objectionable
approachable,reachable
come-at-able,get-at-able
come-at-able,getatable
handy,ready_to_hand
inaccessible,unaccessible
outback,remote
pathless,roadless
pathless,trackless
pathless,untracked
pathless,untrod
pathless,untrodden
unapproachable,unreachable
unapproachable,unreached
unapproachable,out_of_reach
un-come-at-able,un-get-at-able
un-come-at-able,ungetatable
accommodating,accommodative
complaisant,obliging
unaccommodating,unobliging
disobliging,uncooperative
close,faithful
high-fidelity,hi-fi
true,dead_on_target
veracious,right
away,outside
faulty,incorrect
faulty,wrong
wide,wide_of_the_mark
used_to,wont_to
alkaline,alkalic
alkalescent,alcalescent
amphoteric,amphiprotic
acidophilic,acidophilous
acidophilic,aciduric
accepted,recognized
accepted,recognised
given,granted
unappreciated,unsung
unappreciated,unvalued
unavowed,secret
unrecognized,unrecognised
avaricious,covetous
avaricious,grabby
avaricious,grasping
avaricious,greedy
avaricious,prehensile
predaceous,predacious
predaceous,predatory
rapacious,ravening
rapacious,voracious
about,astir
acrobatic,athletic
acrobatic,gymnastic
agile,nimble
agile,quick
agile,spry
hyperactive,overactive
desk-bound,deskbound
abeyant,dormant
hypoactive,underactive
inert,sluggish
inert,soggy
inert,torpid
dull,slow
dull,sluggish
idle,unused
activist,activistic
passive,inactive
resistless,supine
resistless,unresisting
dormant,inactive
alive,live
active,dynamic
actual,existent
potential,possible
adaptive,adaptative
accommodative,reconciling
dysfunctional,nonadaptive
alcoholic,alcohol-dependent
dependent,dependant
dependent,drug-addicted
dependent,hooked
dependent,strung-out
addictive,habit-forming
accumulative,cumulative
addable,addible
extra,additional
complemental,complementary
complemental,completing
summational,summative
supplementary,supplemental
adequate,equal
adequate_to,capable
adequate_to,equal_to
adequate_to,up_to
inadequate,unequal
deficient,lacking
deficient,wanting
incapable,incompetent
incapable,unequal_to
short-handed,short-staffed
short-handed,undermanned
short-handed,understaffed
agglutinate,agglutinative
coherent,tenacious
gluey,glutinous
gluey,gummy
gluey,mucilaginous
gluey,pasty
gluey,sticky
gluey,viscid
gluey,viscous
gooey,icky
gummed,gummy
pitchy,resinous
pitchy,resiny
pitchy,tarry
nonglutinous,nonviscid
nonresinous,non-resinous
nonresinous,nonresiny
nonresinous,non-resiny
adjective,procedural
substantive,essential
adorned,decorated
beady,gemmed
beady,jeweled
beady,jewelled
beady,sequined
beady,spangled
beady,spangly
bespectacled,monocled
bespectacled,spectacled
brocaded,embossed
brocaded,raised
champleve,cloisonne
clinquant,tinseled
clinquant,tinselly
crested,plumed
crested,topknotted
crested,tufted
feathery,feathered
feathery,plumy
frilled,frilly
frilled,ruffled
paneled,wainscoted
tasseled,tasselled
unadorned,undecorated
plain,bare
plain,spare
plain,unembellished
plain,unornamented
clean,neat
clever,cunning
clever,ingenious
coordinated,co-ordinated
deft,dexterous
deft,dextrous
light-fingered,nimble-fingered
bumbling,bungling
bumbling,butterfingered
bumbling,ham-fisted
bumbling,ham-handed
bumbling,handless
bumbling,heavy-handed
bumbling,left-handed
inept,tactless
unmechanical,nonmechanical
beneficial,good
plus,positive
discriminatory,preferential
