Index,Vertical1
0,Games
1,Games
2,Autos & Vehicles
3,Arts & Entertainment
4,Arts & Entertainment
5,Arts & Entertainment
6,Arts & Entertainment
7,Autos & Vehicles
8,Arts & Entertainment
9,Arts & Entertainment
10,Arts & Entertainment
11,Food & Drink
12,Sports
13,Arts & Entertainment
14,Arts & Entertainment
15,Pets & Animals
16,Arts & Entertainment
17,Sports
18,Pets & Animals
19,Sports
20,Food & Drink
21,Internet & Telecom
22,Food & Drink
23,Internet & Telecom
24,Computers & Electronics
25,Arts & Entertainment
26,Shopping
27,Games
28,Arts & Entertainment
29,Food & Drink
31,Arts & Entertainment
30,Autos & Vehicles
32,Food & Drink
33,Arts & Entertainment
34,Arts & Entertainment
35,Games
36,Games
37,Arts & Entertainment
38,Arts & Entertainment
39,Beauty & Fitness
40,Computers & Electronics
41,Arts & Entertainment
42,Games
43,Hobbies & Leisure
44,Autos & Vehicles
45,Business & Industrial
46,Autos & Vehicles
47,Arts & Entertainment
48,Autos & Vehicles
49,Arts & Entertainment
50,Beauty & Fitness
51,Business & Industrial
53,Sports
54,Arts & Entertainment
52,Sports
56,Business & Industrial
57,Arts & Entertainment
55,Autos & Vehicles
58,Autos & Vehicles
59,Business & Industrial
60,Hobbies & Leisure
62,Business & Industrial
61,Arts & Entertainment
63,Games
64,Hobbies & Leisure
65,Beauty & Fitness
66,Beauty & Fitness
67,Pets & Animals
68,Sports
69,Games
70,Sports
73,Computers & Electronics
71,Hobbies & Leisure
72,Sports
74,Computers & Electronics
75,Autos & Vehicles
76,Autos & Vehicles
77,Business & Industrial
78,Arts & Entertainment
79,Sports
80,Arts & Entertainment
81,Arts & Entertainment
82,Sports
83,Business & Industrial
85,Games
84,Arts & Entertainment
86,Arts & Entertainment
87,Pets & Animals
90,Autos & Vehicles
88,Home & Garden
89,Arts & Entertainment
91,Arts & Entertainment
92,Sports
93,Games
94,Games
95,Autos & Vehicles
96,Pets & Animals
97,Arts & Entertainment
100,Beauty & Fitness
98,Sports
101,Hobbies & Leisure
99,Hobbies & Leisure
102,Games
103,Sports
104,Autos & Vehicles
105,Computers & Electronics
107,Travel
106,Computers & Electronics
109,Business & Industrial
108,Games
111,Games
110,Sports
114,Business & Industrial
113,Business & Industrial
112,Food & Drink
115,Computers & Electronics
117,Arts & Entertainment
116,Autos & Vehicles
118,Sports
119,Hobbies & Leisure
120,Food & Drink
121,Beauty & Fitness
123,Food & Drink
122,Arts & Entertainment
124,Games
126,Science
125,Sports
127,Arts & Entertainment
131,Computers & Electronics
132,Games
128,Sports
129,Sports
130,Shopping
134,Games
133,Arts & Entertainment
135,Autos & Vehicles
137,Business & Industrial
136,Arts & Entertainment
138,Business & Industrial
141,Travel
140,Pets & Animals
139,Games
142,Games
143,Sports
145,Travel
144,Arts & Entertainment
146,Arts & Entertainment
147,Games
148,Shopping
149,Hobbies & Leisure
152,Hobbies & Leisure
150,Games
151,Sports
154,Arts & Entertainment
156,Beauty & Fitness
155,Business & Industrial
153,Games
157,Games
158,Computers & Electronics
160,Sports
161,Beauty & Fitness
159,Games
162,Business & Industrial
164,Arts & Entertainment
163,Autos & Vehicles
165,Autos & Vehicles
168,Arts & Entertainment
166,Sports
167,Games
169,Arts & Entertainment
170,Pets & Animals
172,Autos & Vehicles
171,Autos & Vehicles
173,Food & Drink
174,Autos & Vehicles
175,Arts & Entertainment
177,Autos & Vehicles
176,Food & Drink
178,Pets & Animals
181,Beauty & Fitness
179,News
180,Law & Government
182,Sports
184,Real Estate
183,Computers & Electronics
185,Games
186,Autos & Vehicles
188,Arts & Entertainment
187,Computers & Electronics
189,Arts & Entertainment
192,Computers & Electronics
191,Travel
193,Games
190,Arts & Entertainment
194,Shopping
195,News
197,Autos & Vehicles
196,Autos & Vehicles
198,Autos & Vehicles
201,Hobbies & Leisure
202,Beauty & Fitness
203,Computers & Electronics
200,Computers & Electronics
199,Shopping
205,Jobs & Education
204,Arts & Entertainment
209,Computers & Electronics
207,Beauty & Fitness
206,Arts & Entertainment
208,Business & Industrial
210,Sports
211,Food & Drink
212,Business & Industrial
213,Autos & Vehicles
214,Autos & Vehicles
216,Beauty & Fitness
215,Games
220,Home & Garden
218,Reference
222,Beauty & Fitness
221,Food & Drink
217,Games
219,Games
226,Sports
223,Law & Government
230,Games
227,Autos & Vehicles
224,Autos & Vehicles
225,Arts & Entertainment
228,Autos & Vehicles
231,Sports
232,Autos & Vehicles
229,Food & Drink
233,Beauty & Fitness
235,Autos & Vehicles
236,Games
234,Games
238,Science
242,Games
237,Arts & Entertainment
247,Travel
244,Pets & Animals
240,Sports
241,Games
243,Arts & Entertainment
249,Beauty & Fitness
246,Arts & Entertainment
248,Travel
239,Hobbies & Leisure
252,News
250,Food & Drink
245,Computers & Electronics
254,Games
255,Travel
251,Business & Industrial
253,Shopping
257,(Unknown)
256,Beauty & Fitness
258,Games
261,Sports
260,Business & Industrial
259,Science
263,Arts & Entertainment
262,Business & Industrial
266,Autos & Vehicles
264,Law & Government
267,Autos & Vehicles
265,Arts & Entertainment
270,Business & Industrial
268,Arts & Entertainment
269,Computers & Electronics
271,Shopping
276,Home & Garden
273,Sports
277,Arts & Entertainment
274,Hobbies & Leisure
275,Computers & Electronics
272,Games
278,Arts & Entertainment
279,Computers & Electronics
281,Autos & Vehicles
280,Autos & Vehicles
282,Books & Literature
285,Games
283,Autos & Vehicles
284,Computers & Electronics
287,Games
286,Hobbies & Leisure
288,Computers & Electronics
290,Games
289,Science
291,Business & Industrial
292,Shopping
295,Business & Industrial
294,Computers & Electronics
293,Shopping
297,Autos & Vehicles
296,Law & Government
300,Arts & Entertainment
298,Hobbies & Leisure
299,Travel
303,Food & Drink
302,Food & Drink
304,Hobbies & Leisure
305,Computers & Electronics
308,Jobs & Education
313,Arts & Entertainment
309,Computers & Electronics
307,Home & Garden
301,Games
311,Home & Garden
310,Arts & Entertainment
312,Sports
306,Games
316,Autos & Vehicles
314,Pets & Animals
315,Arts & Entertainment
317,Games
318,Games
320,Computers & Electronics
321,Food & Drink
322,Computers & Electronics
319,Games
323,Games
324,Arts & Entertainment
326,Arts & Entertainment
331,Computers & Electronics
325,Arts & Entertainment
328,Arts & Entertainment
333,Sports
329,Sports
330,Arts & Entertainment
327,Games
334,Food & Drink
338,Science
332,Beauty & Fitness
337,Games
341,Home & Garden
339,Arts & Entertainment
335,Games
343,Shopping
349,Computers & Electronics
336,Games
340,Sports
344,Autos & Vehicles
348,Arts & Entertainment
345,Sports
352,Games
356,Science
351,Arts & Entertainment
357,Games
350,Sports
358,Computers & Electronics
346,Sports
347,Business & Industrial
359,Science
355,Beauty & Fitness
354,Arts & Entertainment
362,Arts & Entertainment
353,Sports
342,Arts & Entertainment
361,Autos & Vehicles
360,Sports
364,Real Estate
363,Pets & Animals
365,Hobbies & Leisure
368,Food & Drink
369,Sports
367,Games
366,Hobbies & Leisure
370,Food & Drink
372,Games
371,Hobbies & Leisure
375,Science
376,Sports
374,Hobbies & Leisure
378,Games
